Designator,Mid X,Mid Y,Rotation,Layer
D1,134.09125,-180.3675,90.0,top
D10,334.275,-180.3675,90.0,top
D11,362.85,-180.3675,90.0,top
D12,381.9,-180.3675,90.0,top
D13,401.075644,-179.742547,90.0,top
D14,134.09125,-209.895,90.0,top
D15,153.14125,-209.895,90.0,top
D16,172.19125,-209.895,90.0,top
D17,200.76625,-209.895,90.0,top
D18,219.81625,-209.895,90.0,top
D19,238.86625,-209.895,90.0,top
D2,153.14125,-180.3675,90.0,top
D20,267.44125,-209.895,90.0,top
D21,286.49125,-209.895,90.0,top
D22,305.54125,-209.895,90.0,top
D23,334.11625,-209.895,90.0,top
D24,362.69125,-209.895,90.0,top
D25,381.74125,-209.895,90.0,top
D26,400.79125,-209.895,90.0,top
D27,134.09125,-228.945,90.0,top
D28,153.14125,-228.945,90.0,top
D29,172.19125,-228.945,90.0,top
D3,172.19125,-180.3675,90.0,top
D30,200.76625,-228.945,90.0,top
D31,219.81625,-228.945,90.0,top
D32,238.86625,-228.945,90.0,top
D33,267.44125,-228.945,90.0,top
D34,286.49125,-228.945,90.0,top
D35,305.54125,-228.945,90.0,top
D36,334.11625,-228.945,90.0,top
D37,362.69125,-228.945,90.0,top
D38,381.74125,-228.945,90.0,top
D39,400.79125,-228.945,90.0,top
D4,200.925,-180.3675,90.0,top
D40,134.09125,-257.52,90.0,top
D41,153.14125,-257.52,90.0,top
D42,172.19125,-257.52,90.0,top
D43,200.76625,-257.52,90.0,top
D44,219.81625,-257.52,90.0,top
D45,238.86625,-257.52,90.0,top
D46,267.44125,-257.52,90.0,top
D47,286.49125,-257.52,90.0,top
D48,305.54125,-257.52,90.0,top
D49,334.11625,-257.52,90.0,top
D5,219.975,-180.3675,90.0,top
D50,134.09125,-276.57,90.0,top
D51,153.14125,-276.57,90.0,top
D52,172.19125,-276.57,90.0,top
D53,200.76625,-276.57,90.0,top
D54,219.81625,-276.57,90.0,top
D55,238.86625,-276.57,90.0,top
D56,267.44125,-276.57,90.0,top
D57,286.49125,-276.57,90.0,top
D58,305.54125,-276.57,90.0,top
D59,334.11625,-276.57,90.0,top
D6,239.025,-180.3675,90.0,top
D60,134.09125,-295.62,90.0,top
D61,153.14125,-295.62,90.0,top
D62,172.19125,-295.62,90.0,top
D63,200.76625,-295.62,90.0,top
D64,219.81625,-295.62,90.0,top
D65,238.86625,-295.62,90.0,top
D66,267.44125,-295.62,90.0,top
D67,286.49125,-295.62,90.0,top
D68,305.54125,-295.62,90.0,top
D69,334.11625,-295.62,90.0,top
D7,267.6,-180.3675,90.0,top
D70,134.09125,-314.67,90.0,top
D71,153.14125,-314.67,90.0,top
D72,172.19125,-314.67,90.0,top
D73,200.76625,-314.67,90.0,top
D74,219.81625,-314.67,90.0,top
D75,238.86625,-314.67,90.0,top
D76,267.44125,-314.67,90.0,top
D77,286.49125,-314.67,90.0,top
D78,305.54125,-314.67,90.0,top
D79,334.11625,-314.67,90.0,top
D8,286.65,-180.3675,90.0,top
D80,134.09125,-333.72,90.0,top
D81,153.14125,-333.72,90.0,top
D82,172.19125,-333.72,90.0,top
D83,200.76625,-333.72,90.0,top
D84,219.81625,-333.72,90.0,top
D85,238.86625,-333.72,90.0,top
D86,267.44125,-333.72,90.0,top
D87,296.01625,-333.72,90.0,top
D88,334.11625,-333.72,90.0,top
D89,381.725,-314.3525,90.0,top
D9,305.7,-180.3675,90.0,top
D90,381.725,-333.4025,90.0,top
EC1,143.175,-152.7175,0.0,top
EC2,210.175,-152.7175,0.0,top
EC3,276.99125,-152.7175,0.0,top
EC4,343.99125,-152.7175,0.0,top
R1,249.49125,-138.89875,180.0,top
R2,249.49125,-132.255,180.0,top
SW1,124.725,-181.0025,0.0,top
SW10,324.75,-181.0025,0.0,top
SW11,353.325,-181.0025,0.0,top
SW12,372.375,-181.0025,0.0,top
SW13,391.425,-181.0025,0.0,top
SW14,124.725,-209.5775,0.0,top
SW15,143.775,-209.5775,0.0,top
SW16,162.825,-209.5775,0.0,top
SW17,191.4,-209.5775,0.0,top
SW18,210.45,-209.5775,0.0,top
SW19,229.5,-209.5775,0.0,top
SW2,143.775,-181.0025,0.0,top
SW20,258.075,-209.5775,0.0,top
SW21,277.125,-209.5775,0.0,top
SW22,296.175,-209.5775,0.0,top
SW23,324.75,-209.5775,0.0,top
SW24,353.325,-209.5775,0.0,top
SW25,372.375,-209.5775,0.0,top
SW26,391.425,-209.5775,0.0,top
SW27,124.725,-228.6275,0.0,top
SW28,143.775,-228.6275,0.0,top
SW29,162.825,-228.6275,0.0,top
SW3,162.825,-181.0025,0.0,top
SW30,191.4,-228.6275,0.0,top
SW31,210.45,-228.6275,0.0,top
SW32,229.5,-228.6275,0.0,top
SW33,258.075,-228.6275,0.0,top
SW34,277.125,-228.6275,0.0,top
SW35,296.175,-228.6275,0.0,top
SW36,324.75,-228.6275,0.0,top
SW37,353.325,-228.6275,0.0,top
SW38,372.375,-228.6275,0.0,top
SW39,391.425,-228.6275,0.0,top
SW4,191.4,-181.0025,0.0,top
SW40,124.725,-257.2025,0.0,top
SW41,143.775,-257.2025,0.0,top
SW42,162.825,-257.2025,0.0,top
SW43,191.4,-257.2025,0.0,top
SW44,210.45,-257.2025,0.0,top
SW45,229.5,-257.2025,0.0,top
SW46,258.075,-257.2025,0.0,top
SW47,277.125,-257.2025,0.0,top
SW48,296.175,-257.2025,0.0,top
SW49,324.75,-257.2025,0.0,top
SW5,210.45,-181.0025,0.0,top
SW50,124.725,-276.2525,0.0,top
SW51,143.775,-276.2525,0.0,top
SW52,162.825,-276.2525,0.0,top
SW53,191.4,-276.2525,0.0,top
SW54,210.45,-276.2525,0.0,top
SW55,229.5,-276.2525,0.0,top
SW56,258.075,-276.2525,0.0,top
SW57,277.125,-276.2525,0.0,top
SW58,296.175,-276.2525,0.0,top
SW59,324.75,-276.2525,0.0,top
SW6,229.5,-181.0025,0.0,top
SW60,124.725,-295.3025,0.0,top
SW61,143.775,-295.3025,0.0,top
SW62,162.825,-295.3025,0.0,top
SW63,191.4,-295.3025,0.0,top
SW64,210.45,-295.3025,0.0,top
SW65,229.5,-295.3025,0.0,top
SW66,258.075,-295.3025,0.0,top
SW67,277.125,-295.3025,0.0,top
SW68,296.175,-295.3025,0.0,top
SW69,324.75,-295.3025,0.0,top
SW7,258.075,-181.0025,0.0,top
SW70,124.725,-314.3525,0.0,top
SW71,143.775,-314.3525,0.0,top
SW72,162.825,-314.3525,0.0,top
SW73,191.4,-314.3525,0.0,top
SW74,210.45,-314.3525,0.0,top
SW75,229.5,-314.3525,0.0,top
SW76,258.075,-314.3525,0.0,top
SW77,277.125,-314.3525,0.0,top
SW78,296.175,-314.3525,0.0,top
SW79,324.75,-314.3525,0.0,top
SW8,277.125,-181.0025,0.0,top
SW80,124.725,-333.4025,0.0,top
SW81,143.775,-333.4025,0.0,top
SW82,162.825,-333.4025,0.0,top
SW83,191.4,-333.4025,0.0,top
SW84,210.45,-333.4025,0.0,top
SW85,229.5,-333.4025,0.0,top
SW86,258.075,-333.4025,0.0,top
SW87,286.65,-333.4025,0.0,top
SW88,324.75,-333.4025,0.0,top
SW89,372.375,-314.3525,0.0,top
SW9,296.175,-181.0025,0.0,top
SW90,372.375,-333.4025,0.0,top
U1,417.88125,-145.81875,0.0,top
U2,242.09375,-152.7175,0.0,top
